"id","hisq_ensembles","operator","nbs","fit_n","result","commit_date","commit_user"
101,"l1648f211b580m013m065m838","LR",33,2,0.00779078283388,"2017-06-14 00:34:39.096227-07","cchang5"
102,"l1648f211b580m013m065m838","LR",33,3,0.00786149030856,"2017-06-14 00:34:39.121903-07","cchang5"
103,"l1648f211b580m013m065m838","LR",34,1,0.00877513862331,"2017-06-14 00:34:39.149-07","cchang5"
104,"l1648f211b580m013m065m838","LR",34,2,0.00886279590971,"2017-06-14 00:34:39.173474-07","cchang5"
105,"l1648f211b580m013m065m838","LR",34,3,0.00865285646727,"2017-06-14 00:34:39.195433-07","cchang5"
106,"l1648f211b580m013m065m838","LR",35,1,0.00790594947438,"2017-06-14 00:34:39.221775-07","cchang5"
107,"l1648f211b580m013m065m838","LR",35,2,0.00813102665422,"2017-06-14 00:34:39.247694-07","cchang5"
108,"l1648f211b580m013m065m838","LR",35,3,0.00810715792681,"2017-06-14 00:34:39.274296-07","cchang5"
109,"l1648f211b580m013m065m838","LR",36,1,0.00834517959267,"2017-06-14 00:34:39.299221-07","cchang5"
110,"l1648f211b580m013m065m838","LR",36,2,0.00842987946849,"2017-06-14 00:34:39.324805-07","cchang5"
111,"l1648f211b580m013m065m838","LR",36,3,0.00841841082735,"2017-06-14 00:34:39.350843-07","cchang5"
112,"l1648f211b580m013m065m838","LR",37,1,0.00846788604406,"2017-06-14 00:34:39.3765-07","cchang5"
113,"l1648f211b580m013m065m838","LR",37,2,0.008643179212,"2017-06-14 00:34:39.402641-07","cchang5"
114,"l1648f211b580m013m065m838","LR",37,3,0.00862683525,"2017-06-14 00:34:39.427624-07","cchang5"
115,"l1648f211b580m013m065m838","LR",38,1,0.00824067549974,"2017-06-14 00:34:39.453462-07","cchang5"
116,"l1648f211b580m013m065m838","LR",38,2,0.00812365194237,"2017-06-14 00:34:39.479731-07","cchang5"
117,"l1648f211b580m013m065m838","LR",38,3,0.00838201650603,"2017-06-14 00:34:39.503749-07","cchang5"
118,"l1648f211b580m013m065m838","LR",39,1,0.00848937017895,"2017-06-14 00:34:39.529466-07","cchang5"
119,"l1648f211b580m013m065m838","LR",39,2,0.00825860195423,"2017-06-14 00:34:39.553945-07","cchang5"
120,"l1648f211b580m013m065m838","LR",39,3,0.0085135032619,"2017-06-14 00:34:39.579166-07","cchang5"
121,"l1648f211b580m013m065m838","LR",40,1,0.00866326471968,"2017-06-14 00:34:39.612858-07","cchang5"
122,"l1648f211b580m013m065m838","LR",40,2,0.00864745165056,"2017-06-14 00:34:39.637853-07","cchang5"
123,"l1648f211b580m013m065m838","LR",40,3,0.00853557129068,"2017-06-14 00:34:39.663277-07","cchang5"
124,"l1648f211b580m013m065m838","LR",41,1,0.00770560934533,"2017-06-14 00:34:39.688777-07","cchang5"
125,"l1648f211b580m013m065m838","LR",41,2,0.00775346334778,"2017-06-14 00:34:39.713585-07","cchang5"
126,"l1648f211b580m013m065m838","LR",41,3,0.00801173790726,"2017-06-14 00:34:39.739109-07","cchang5"
127,"l1648f211b580m013m065m838","LR",42,1,0.00762652052723,"2017-06-14 00:34:39.767357-07","cchang5"
128,"l1648f211b580m013m065m838","LR",42,2,0.00771572260579,"2017-06-14 00:34:39.792595-07","cchang5"
129,"l1648f211b580m013m065m838","LR",42,3,0.00776783870548,"2017-06-14 00:34:39.81799-07","cchang5"
130,"l1648f211b580m013m065m838","LR",43,1,0.00840567653669,"2017-06-14 00:34:39.843468-07","cchang5"
131,"l1648f211b580m013m065m838","LR",43,2,0.00881745135465,"2017-06-14 00:34:39.868727-07","cchang5"
132,"l1648f211b580m013m065m838","LR",43,3,0.00853363094605,"2017-06-14 00:34:39.894114-07","cchang5"
133,"l1648f211b580m013m065m838","LR",44,1,0.00789456747126,"2017-06-14 00:34:39.919461-07","cchang5"
134,"l1648f211b580m013m065m838","LR",44,2,0.00776729563488,"2017-06-14 00:34:39.944172-07","cchang5"
135,"l1648f211b580m013m065m838","LR",44,3,0.00828626002277,"2017-06-14 00:34:39.969576-07","cchang5"
136,"l1648f211b580m013m065m838","LR",45,1,0.00841568356633,"2017-06-14 00:34:39.994987-07","cchang5"
137,"l1648f211b580m013m065m838","LR",45,2,0.00841230780227,"2017-06-14 00:34:40.019691-07","cchang5"
138,"l1648f211b580m013m065m838","LR",45,3,0.0086422200798,"2017-06-14 00:34:40.044997-07","cchang5"
139,"l1648f211b580m013m065m838","LR",46,1,0.00844816954989,"2017-06-14 00:34:40.07037-07","cchang5"
140,"l1648f211b580m013m065m838","LR",46,2,0.00826931752882,"2017-06-14 00:34:40.095944-07","cchang5"
